Source_URL,Username,Review,Cleaned_Review,Rating,Date,Sentiment
https://www.tokopedia.com/royalltech/laptop-asus-zenbook-a14-oled-ux3407ra-x-ux3407qa-snapdragon-x-elite-x1e78100-32gb-512gb-14-wuxga-oled-windows-11-ohs-o365-laptop-tipis-ringan-laptop-asus-zenbook-a14-ux3407qa-1733251412731332087/review,KISAR,Tidak sesuai gambar...,sesuai gambar,1,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/advanstore/advan-tbook-x-transformers-intel-n100-4gb-128gb-14-hd-laptop-notebook-free-windows-11-upgradeable-1731956993680967527/review,W***a,Leptop leg leg baru 1 app di donwolod,leptop leg leg baru app donwolod,3,3 bulan lalu,netral
https://www.tokopedia.com/foxcomp/obrall-laptop-lenovo-thinkpad-x260-ci5-gen6-8-gb-ssd-256-murah-muluss-core-i5-ram-8-ssd-256-846cc/review,s***i,"barang sampai dengan selamat, pengemasan cepat dan packingnya juga aman walau dikirim jauh keluar pulau, barang bagus banget sesuai deskripsi",barang dengan selamat emas cepat packingnya aman kirim jauh keluar pulau barang bagus banget sesuai deskripsi,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/trinitycomp/core-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-no-storage-78c0c/review,K***n,"Pakt sdh diterima, semoga awet kondisi okelah barang second, blm dicoba. Tks",pakt sdh terima moga awet kondisi oke barang second blm coba tks,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/dna-com-17/lenovo-thinkpad-x240-x250-x260-x270-x280-x290-i3-i5-i7-second-original-berkualitas-bergaransi-1731365752961468092/review,Bayu,alhamdulillah. bagus memuaskan gaes. lngsung recomendasiin ke temen,alhamdulillah bagus muas gaes lngsung recomendasiin temen,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/distri-laptop/laptop-axioo-hype-1-celeron-4gb-8gb-128gb-14-hd-w11-1731414735794112013/review,F***d,"Respon admin cepat...
Barang dikirim juga cepat, kemarin pesan hari ini sudah diterima... Barang diterima dengan kondisi baik, dikemas dengan baik...
Semoga awet barangny... ",respon admin cepat barang kirim cepat kemarin pesan hari sudah terima barang terima kondisi baik kemas baik moga awet barangny,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/starjayaelectronic/laptop-touchscreen-lenovo-thinkpad-t470s-core-i7-gen-6-8gb-256gb-1733591315677349803/review,S***d,"Untuk pelayanannya masi oke, tapi masi ada minusnya dari kejujuran dan amanah. Saya pesan T470s yg datang T460s, walaupun itu speknya sama (kata adminnya), setidaknya har...",layan mas oke mas minus jujur amanah pesan ts yg datang ts walaupun speknya sama kata adminnya har,3,6 bulan lalu,netral
https://www.tokopedia.com/foxcomp/obrall-laptop-lenovo-thinkpad-x260-ci5-gen6-8-gb-ssd-256-murah-muluss-core-i5-ram-8-ssd-256-846cc/review,Farid,"barang mulus, tampilan oke, rekomendasi ini kalau ada uang mau beli lagi, semoga awet amiiin",barang mulus tampil oke rekomendasi kalau uang mau beli moga awet amiiin,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/dna-com-17/lenovo-thinkpad-x240-x250-x260-x270-x280-x290-i3-i5-i7-second-original-berkualitas-bergaransi-1731365752961468092/review,Luthfi,"Laptop mendarat dengan selamat, mulussss seperti baru. recomend 👍",laptop darat selamat mulussss baru recomend,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/distri-laptop/laptop-axioo-hype-1-celeron-4gb-8gb-128gb-14-hd-w11-1731414735794112013/review,A***i,"POV seorang guru, memutuskan pakai ini sebagai daily driver buat kerja. Insyaallah semua kegiatan seorang guru bisa tercover.",pov orang guru putus pakai bagai daily driver buat kerja insyaallah semua giat orang guru tercover,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/distri-laptop/laptop-axioo-hype-1-celeron-4gb-8gb-128gb-14-hd-w11-1731414735794112013/review,Gama,"mantap terpercaya dan barangnya bagus ga cacat, good",mantap percaya barang bagus ga cacat good,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/tokohapedia-idn/apple-macbook-air-m1-chip-2020-256gb-512gb-space-gray-gold-silver-grey-inter-256gb/review,K***g,"Barang bagus, cepat sampai, recommended!",barang bagus cepat recommended,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/trinitycomp/core-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-no-storage-78c0c/review,Puji,Pesanan sudah diterima…kirain udah di install microsoft office ternyata masih kosongan…Terima Kasih,pesan diterimakirain udah install microsoft office nyata kosonganterima kasih,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/trinitycomp/lenovo-thinkpad-t470-laptop-core-i5-siap-buat-editing-dan-gaming-1731460371696289107/review,F***i,"Proses dan pengiriman good. Spec dan isi sesuai deskripsi.
Paxking aman, hanya ada bagian yang sepertinya bekas tekena panas tinggi (seperti terbakar) dn ada bagian yang...",proses kirim good spec isi sesuai deskripsi paxking aman bagi seperti bekas tekena panas tinggi bakar dn ada bagi,3,Lebih dari 1 tahun lalu,netral
https://www.tokopedia.com/dna-com-17/lenovo-thinkpad-x240-x250-x260-x270-x280-x290-i3-i5-i7-second-original-berkualitas-bergaransi-1731365752961468092/review,I***n,barang bagus sesuai dengan pesanan  tidak mengecewakan rekomendasi untuk beli di sni ya .,barang bagus sesuai pesan kecewa rekomendasi beli sni,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/alvinluo-shop/laptop-lenovo-yoga-x380-touchscreen-i7-gen-8-berkualitas-spek-tinggi-1730860433623517127/review,Reno,Casing lecet2x,casing lecetx,3,Lebih dari 1 tahun lalu,netral
https://www.tokopedia.com/amolilaptop/touchscreen-amoli-laptop-2-in-1-intel-n4020-11-6-inch-laptop-8gb-256gb-ssd-gratis-instalasi-windows-11-office-garansi-1-tahun-laptop-gaming-laptop-pembelajaran-1733476128223757770/review,S***e,"100% realpict,packing aman, ada masalah pada layar bergaris setelah 2 hari, pemakaian wajar dan aman2 saja, cepet panas karena belum dilengkapi kipas",realpictpacking aman masalah layar gar hari pakai wajar aman cepet panas belum lengkap kipas,3,Lebih dari 1 tahun lalu,netral
https://www.tokopedia.com/trinitycomp/core-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-no-storage-78c0c/review,Lukman,"barang dh nyampe, bagus",barang dh nyampe bagus,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/trinitycomp/core-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-no-storage-78c0c/review,Asep,"Berfungsi dgn baik, fisik lumayan, layar ada minus dikit ga ngaruh. Sangat worted unt harga segini.",fungsi dgn baik fisik lumayan layar minus dikit ga ngaruh sangat worted unt harga gin,4,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/distri-laptop/axioo-mybook-hype-3-i3-1005g1-ram-8gb-256gb-ssd-14-fhd-ips-w11-1730808512282855337/review,A***r,"pengiriman sangaat sangat lama, estimasi 2 hari tapi dtgnya 2 mingguan",kirim sangaat sangat lama estimasi hari dtgnya minggu,1,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/distri-laptop/laptop-axioo-hype-1-celeron-4gb-8gb-128gb-14-hd-w11-1731414735794112013/review,L***s,"Barang sesuai dengan yang di iklankan, seller komunikatif sekali proses cepat udh berkali2 pesen di sini tidak ada masalah recommended seller!",barang sesuai yang iklan seller komunikatif sekali proses cepat udh kali sen sini ada masalah recommended seller,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/foxcomp/obrall-laptop-lenovo-thinkpad-x260-ci5-gen6-8-gb-ssd-256-murah-muluss-core-i5-ram-8-ssd-256-846cc/review,F***l,"barang sampai dg selamat, pengiriman cepat, kondisi fisik mulus bgt like new bener2 dikasih sesuai permintaan, respon seller baik, keyboard udh ditempelin stiker US malah... ",barang dg selamat kirim cepat kondisi fisik mulus bgt like new bener kasih sesuai minta respon seller baik keyboard udh ditempelin stiker us malah,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/tokohapedia-idn/apple-macbook-air-m1-chip-2020-256gb-512gb-space-gray-gold-silver-grey-inter-256gb/review,Z***o,mulus kaya ???,mulus kaya,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/dna-com-17/lenovo-thinkpad-x240-x250-x260-x270-x280-x290-i3-i5-i7-second-original-berkualitas-bergaransi-1731365752961468092/review,Gunawan,":) produknya bagus, udah kek baru lagi aja nih. mantaps ,Toko Recomemded :)",produk bagus udah kek baru aja nih mantaps toko recomemded,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/trinitycomp/core-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-no-storage-78c0c/review,Nurcahya,semua oke. mulus. semuanya bekerja dengan baik,semua oke mulus semua kerja baik,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/trinitycomp/core-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-no-storage-78c0c/review,Y***h,"secara fisik ok, tp di dlm ada drive DVD RW, saya mencari dimana buat masukin DVD nya ya??",fisik tp dlm drive dvd rw cari buat masukin dvd nya,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/distri-laptop/laptop-axioo-hype-1-celeron-4gb-8gb-128gb-14-hd-w11-1731414735794112013/review,Ara,Affordable price buat yg kerja cukup pakde Google drive . Sukaaa banget.. sayang bonus yaa nya ga d kasi padahal beli yg paket lengkap.,affordable price buat yg kerja cukup pakde google drive sukaaa banget sayang bonus yaa nya ga d kasi padahal beli yg paket lengkap,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/dna-com-17/lenovo-thinkpad-x240-x250-x260-x270-x280-x290-i3-i5-i7-second-original-berkualitas-bergaransi-1731365752961468092/review,H***I,"barang datang tepat waktu layanan , ok  terima kasih🙏",barang datang tepat waktu layan terima kasih,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/agreshpauthorized/hp-245-g10-ryzen-3-7320-8gb-256gb-w11-ohs-14-0-hd-3y-garansi-resmi-1733010085551703202/review,Ahmad,Lebih dari 1 tahun lalu,lebih tahun lalu,1,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/trinitycomp/core-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-no-storage-78c0c/review,Dimas,"baru dinyalain, so far so good. semoga awet awet aweeeeettt",baru dinyalain so far so good moga awet awet aweeeeettt,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/dna-com-17/lenovo-thinkpad-x240-x250-x260-x270-x280-x290-i3-i5-i7-second-original-berkualitas-bergaransi-1731365752961468092/review,dhimas,"barang sudah sampai dengan selamat, keyboard, suara, charger, port mic berfungsi semua dan sesuai dengan deskripsi. seller juga ramah dan fast respon. semoga awet barang... ",barang sampai selamat keyboard suara charger port mic fungsi semua sesuai deskripsi seller ramah fast respon moga awet barang,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/trinitycomp/core-i7-gen-8-termurah-lenovo-thinkpad-x280-laptop-setipis-x1-carbon-i3-gen-8-4gb-no-storage-78c0c/review,Sholihin,"pelayanan tokoh ramah, barang bagus dan berfungsi normal, semoga awet, puas belanja disini",layan tokoh ramah barang bagus fungsi normal moga awet puas belanja sini,5,4 bulan lalu,positif
https://www.tokopedia.com/gugellaptop/thinkpad-x380-x390-yoga-i7-8th-thinkpad-x390-x380-yoga-i5-8th-thinkpad-x390-yoga-x380-yoga-thinkpad-yoga-1731426883390178594/review,Hadi,"jangan beli disini parah, barang dipakai 1 bulan monitor sdh rusak, saya minta bantuan service berbayar aja menolong ga mau, jangan beli notebook disini, penjual kalo ada...",jangan beli sini parah barang pakai bulan monitor sdh rusak minta bantu service bayar aja tolong ga mau jangan beli notebook sini jual kalo,1,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/intelgamingid/asus-zenbook-14-oled-touch-ux3405ca-ultra-5-225h-16gb-1tb-w11-ohs-14-0-1732151500112495936/review,Andy,Lebih dari 1 tahun lalu,lebih tahun lalu,2,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/redstarelectronic/lenovo-thinkpad-t480s-core-i7-8650u-24gb-ram-512gb-nvme-ssd-tc-full-hd-windows-11-1729822537494135859/review,Muhammad,batre sudah tidak ori,batre tidak ori,2,3 bulan lalu,negatif
https://www.tokopedia.com/tokohapedia-idn/apple-macbook-air-m1-chip-2020-256gb-512gb-space-gray-gold-silver-grey-inter-256gb/review,moh,"Mantappp, puasss! Respon cepat, packing aman sangat, & barang sesuai pesanan.
mudah2an awet.",mantappp puasss respon cepat packing aman sangat barang sesuai pesan mudah awet,5,Lebih dari 1 tahun lalu,positif
https://www.tokopedia.com/foxcomp/obrall-laptop-lenovo-thinkpad-x260-ci5-gen6-8-gb-ssd-256-murah-muluss-core-i5-ram-8-ssd-256-846cc/review,Ilman,"Barang mulus cakep, batre juga tahan lama, recomend bgt beli laptop ini",barang mulus cakep batre tahan lama recomend bgt beli laptop,5,Lebih dari 1 tahun lalu,positif
