Source_URL,Username,Review,Cleaned_Review,Rating,Date,Sentiment
https://www.tokopedia.com/spacetech/laptop-hp-14-em0332au-em0333au-ryzen-3-7320u-8gb-512gb-14-fhd-win11-ohs-1731233517789873785/review,B***a,"bener bener ga paham sama store nya, masalahin setting awal yang setting awal itu ga ada sett apa apa, sebenarnya ngerti ga sih tampilan laptop dan opsi kalau baru? ada e... ",bener bener ga paham sama store nya masalahin setting awal yang setting awal itu ga ada sett apa apa sebenarnya ngerti ga sih tampilan laptop dan opsi kalau baru ada e,1,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/octalcomputer/lenovo-thinkpad-t480-t480s-intel-core-i5-gen-8-ram-8gb-ssd-128gb-up-to-512gb-second-murah-dan-bergaransi-mesin-1733670483365889939/review,valle,"untuk unit t580 tc, ada minus layar ngebayang garis di bagian bawah.. sudah diclaim tukar unit dijanjikan lcd yg normal tapi masalah tetep sama walaupun unitnya beda, dan... ",untuk unit t tc ada minus layar ngebayang garis di bagian bawah sudah diclaim tukar unit dijanjikan lcd yg normal tapi masalah tetep sama walaupun unitnya beda dan,2,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/collinsofficial/asus-vivobook-14-a1404va-i3-1315u-ssd-256gb-512gb-14-fhd-ips-w11-ohs-1731203948840649927/review,ATMIRAH,"Laptop Sudah pernah Di pakai
pakingan laptopnya lecek
tas sudah pernah di pakai
semuanya lecek
kardus sangat jelek tidak bertanggungjawab","laptop sudah pernah di pakai
pakingan laptopnya lecek
tas sudah pernah di pakai
semuanya lecek
kardus sangat jelek tidak bertanggungjawab",2,4 bulan lalu,negatif
https://www.tokopedia.com/collinsofficial/asus-vivobook-14-a1404va-i3-1315u-ssd-256gb-512gb-14-fhd-ips-w11-ohs-1731203948840649927/review,I***w,"Info di live dapat bonus keyboard / mouse 
Barang sudah sampai
Pesan tanggal 9 sampai tanggal 12","info di live dapat bonus keyboard  mouse 
barang sudah sampai
pesan tanggal  sampai tanggal",2,6 bulan lalu,negatif
https://www.tokopedia.com/collinsofficial/asus-vivobook-14-a1404va-i3-1315u-ssd-256gb-512gb-14-fhd-ips-w11-ohs-1731203948840649927/review,M***a,Barang yang di kirim kurang lengkap,barang yang di kirim kurang lengkap,2,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/collinsofficial/asus-vivobook-14-a1404va-i3-1315u-ssd-256gb-512gb-14-fhd-ips-w11-ohs-1731203948840649927/review,Yerry,Warna tidak sesuai dengan request yg udh di sepakati,warna tidak sesuai dengan request yg udh di sepakati,2,6 bulan lalu,negatif
https://www.tokopedia.com/88-laptop/laptop-t14-series-intel-core-i5-gen-11-ram-8-16gb-ssd-128gb-up-to-512gb-best-grade-1731127365138548379/review,W***f,"Barangnya ga bgs, bukan bekas pabrik tetapi bekas pemakaian pribadi..",barangnya ga bgs bukan bekas pabrik tetapi bekas pemakaian pribadi,1,5 hari lalu,negatif
https://www.tokopedia.com/88-laptop/laptop-t14-series-intel-core-i5-gen-11-ram-8-16gb-ssd-128gb-up-to-512gb-best-grade-1731127365138548379/review,K***y,"Hati2 klo mau beli laptop disini, klo ad komplain gak bisa , kita di persulit.. saya korbannya .. jngan beli disini .. barang yang datang tidak sesuai dengan foto di jual... ",hati klo mau beli laptop disini klo ad komplain gak bisa  kita di persulit saya korbannya  jngan beli disini  barang yang datang tidak sesuai dengan foto di jual,1,2 minggu lalu,negatif
https://www.tokopedia.com/88-laptop/laptop-t14-series-intel-core-i5-gen-11-ram-8-16gb-ssd-128gb-up-to-512gb-best-grade-1731127365138548379/review,S***f,Paking bagus tp laptopnya ada masalah sy hrs instal ulang bodynya pada lecet ya maklum sih laptop second,paking bagus tp laptopnya ada masalah sy hrs instal ulang bodynya pada lecet ya maklum sih laptop second,2,6 bulan lalu,negatif
https://www.tokopedia.com/88-laptop/laptop-t14-series-intel-core-i5-gen-11-ram-8-16gb-ssd-128gb-up-to-512gb-best-grade-1731127365138548379/review,N***a,"Kualitas pengerjaan: Baik
Bahan: Baik
Performa sistem: keyboard bekerja dengan baik kartu grafisnya 128 doang g bisa instal mendely udah gitu g suport windos 11","kualitas pengerjaan baik
bahan baik
performa sistem keyboard bekerja dengan baik kartu grafisnya  doang g bisa instal mendely udah gitu g suport windos",3,5 bulan lalu,netral
https://www.tokopedia.com/88-laptop/laptop-t14-series-intel-core-i5-gen-11-ram-8-16gb-ssd-128gb-up-to-512gb-best-grade-1731127365138548379/review,S***e,"Laptop sudah sampe tapi kenapa ms office dan aplikasi lain blm ada...padahal ms office penting bgt bagi kami.
Bahan: Baik
Performa sistem: Belum bisa dipake","laptop sudah sampe tapi kenapa ms office dan aplikasi lain blm adapadahal ms office penting bgt bagi kami
bahan baik
performa sistem belum bisa dipake",3,3 bulan lalu,netral
https://www.tokopedia.com/88-laptop/laptop-t14-series-intel-core-i5-gen-11-ram-8-16gb-ssd-128gb-up-to-512gb-best-grade-1731127365138548379/review,I***d,"keyboardnya ngaco ga sesuai tempatnya, performa oke",keyboardnya ngaco ga sesuai tempatnya performa oke,3,2 minggu lalu,netral
https://www.tokopedia.com/88-laptop/laptop-t14-series-intel-core-i5-gen-11-ram-8-16gb-ssd-128gb-up-to-512gb-best-grade-1731127365138548379/review,W***q,"Charge lemah, terpaksa beli lagi sendiri",charge lemah terpaksa beli lagi sendiri,3,3 bulan lalu,netral
https://www.tokopedia.com/specialistlaptop/laptop-2-in-1-lenovo-thinkpad-x1-yoga-4th-core-i7-8th-gen-ram-16gb-ssd-x1-yoga-4th-i5-ram-16-ssd-256-d4a03/review,naufal,cocolok chasan bermasalah longgar dengan harga segitu angger Ari Harus beli deui mah,cocolok chasan bermasalah longgar dengan harga segitu angger ari harus beli deui mah,1,11 bulan lalu,negatif
https://www.tokopedia.com/specialistlaptop/laptop-2-in-1-lenovo-thinkpad-x1-yoga-4th-core-i7-8th-gen-ram-16gb-ssd-x1-yoga-4th-i5-ram-16-ssd-256-d4a03/review,E***h,"Yang mau beli dipikir² dulu karena ada whitespot yg ga diinfokan. Kalau soal performa laptop bagus, tinggal nunggu bbrp bulan masih bagus atau enggak.",yang mau beli dipikir² dulu karena ada whitespot yg ga diinfokan kalau soal performa laptop bagus tinggal nunggu bbrp bulan masih bagus atau enggak,2,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/alvinluo-shop/spek-tingggi-laptop-dell-7280-i7-7th-no-touchscreen-ram-16gb-512gb-ssd-1732386825970747177/review,R***d,9 bulan lalu,bulan lalu,1,9 bulan lalu,negatif
https://www.tokopedia.com/alvinluo-shop/spek-tingggi-laptop-dell-7280-i7-7th-no-touchscreen-ram-16gb-512gb-ssd-1732386825970747177/review,Aris,"tidak seperti deskripsi, laptop hanya bisa dipake menggunakan power listrik",tidak seperti deskripsi laptop hanya bisa dipake menggunakan power listrik,1,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/alvinluo-shop/spek-tingggi-laptop-dell-7280-i7-7th-no-touchscreen-ram-16gb-512gb-ssd-1732386825970747177/review,Ragun,"Laptop nya kena virus "" kondisi luar nya aja bagus "" tapi dalam internet nya kena virus 
Jangan mau guys beli di toko ini "" seller penipu "" toko gak amana... ","laptop nya kena virus  kondisi luar nya aja bagus  tapi dalam internet nya kena virus 
jangan mau guys beli di toko ini  seller penipu  toko gak amana",1,9 bulan lalu,negatif
https://www.tokopedia.com/alvinluo-shop/spek-tingggi-laptop-dell-7280-i7-7th-no-touchscreen-ram-16gb-512gb-ssd-1732386825970747177/review,andi,BARANG BELUM SAYA TERIMA !!! Lantas notofikasinya sudah selesai... APA MAKSUDNYA????,barang belum saya terima  lantas notofikasinya sudah selesai apa maksudnya,1,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/alvinluo-shop/spek-tingggi-laptop-dell-7280-i7-7th-no-touchscreen-ram-16gb-512gb-ssd-1732386825970747177/review,F***y,Lebih dari 1 tahun lalu,lebih dari  tahun lalu,1,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/alvinluo-shop/spek-tingggi-laptop-dell-7280-i7-7th-no-touchscreen-ram-16gb-512gb-ssd-1732386825970747177/review,L***s,"touch pad lemot, kadang tidak berfungsi. layar ada garis merah bisa berdampak melebar",touch pad lemot kadang tidak berfungsi layar ada garis merah bisa berdampak melebar,3,Lebih dari 1 tahun lalu,netral
https://www.tokopedia.com/alvinluo-shop/spek-tingggi-laptop-dell-7280-i7-7th-no-touchscreen-ram-16gb-512gb-ssd-1732386825970747177/review,F***s,"sesuai spek yang tertera.
Hanya saja baru perhatiin chargernya bukan asli dell tapi charger jenis lain dan sekarang sudah rusak jadi beli yang original.","sesuai spek yang tertera
hanya saja baru perhatiin chargernya bukan asli dell tapi charger jenis lain dan sekarang sudah rusak jadi beli yang original",3,Lebih dari 1 tahun lalu,netral
https://www.tokopedia.com/alvinluo-shop/spek-tingggi-laptop-dell-7280-i7-7th-no-touchscreen-ram-16gb-512gb-ssd-1732386825970747177/review,F***h,"laptopnya sempat padam, liat diyoutube cara perbaikinya, untungnya hidup lagi",laptopnya sempat padam liat diyoutube cara perbaikinya untungnya hidup lagi,3,Lebih dari 1 tahun lalu,netral
https://www.tokopedia.com/alvinluo-shop/spek-tingggi-laptop-dell-7280-i7-7th-no-touchscreen-ram-16gb-512gb-ssd-1732386825970747177/review,Ajengan,Lebih dari 1 tahun lalu,lebih dari  tahun lalu,3,Lebih dari 1 tahun lalu,netral
https://www.tokopedia.com/bigberry-store/apple-macbook-air-2024-m3-chip-15-13-inch-512gb-256gb-ram-8gb-16gb-13-8-8-256gb-space-gray-2bc31/review,Denny,"barangnya sampai dengan keadaan baik dan tentunya original.. tp sayang pelayanan seller kurang oke, udh order tiba"" blngnya harga udah naik jadi disuruh nambah, semog... ",barangnya sampai dengan keadaan baik dan tentunya original tp sayang pelayanan seller kurang oke udh order tiba blngnya harga udah naik jadi disuruh nambah semog,3,Lebih dari 1 tahun lalu,netral
https://www.tokopedia.com/collinsofficial/laptop-hp-intel-core-i3-gen-13-uhd-4gb-8gb-ram-512gb-ssd-14-inch-fhd-windows-11-home-ohs-1732615984067544263/review,F***a,"laptop yang dikirim bermasalah.. 
penjual fastrespon hnya sja kenapa barang sebelum dikirm ke pembeli tidak ada pengecekan lagi hal tersbt saangat disayangkan","laptop yang dikirim bermasalah 
penjual fastrespon hnya sja kenapa barang sebelum dikirm ke pembeli tidak ada pengecekan lagi hal tersbt saangat disayangkan",1,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/collinsofficial/laptop-hp-intel-core-i3-gen-13-uhd-4gb-8gb-ram-512gb-ssd-14-inch-fhd-windows-11-home-ohs-1732615984067544263/review,C***a,barang nya bagus. tapi sayang pelayanannya kurang. pesen dari jam 10 baru dikirim jam set2. padahal sebelumnya sudah request untuk lngsung dikirim jam 11 dan seller sudah... ,barang nya bagus tapi sayang pelayanannya kurang pesen dari jam  baru dikirim jam set padahal sebelumnya sudah request untuk lngsung dikirim jam  dan seller sudah,3,Lebih dari 1 tahun lalu,netral
https://www.tokopedia.com/collinsofficial/asus-vivobook-14-a1404va-i7-1355u-8-16-24-40gb-512g-1t-14-fhd-w11-ohs-1731393666917893319/review,Suryadi,"actual kelengkapan paket tidak sama dengan, iklan yg disampaikan, dalam iklan Ada free gift tapi actual tidak Ada,,,, padahal tdk Ada keterangan selama persediaan masih A... ",actual kelengkapan paket tidak sama dengan iklan yg disampaikan dalam iklan ada free gift tapi actual tidak ada padahal tdk ada keterangan selama persediaan masih a,1,6 bulan lalu,negatif
https://www.tokopedia.com/collinsofficial/asus-vivobook-14-a1404va-i7-1355u-8-16-24-40gb-512g-1t-14-fhd-w11-ohs-1731393666917893319/review,Fanni,Lebih dari 1 tahun lalu,lebih dari  tahun lalu,1,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/collinsofficial/asus-vivobook-14-a1404va-i7-1355u-8-16-24-40gb-512g-1t-14-fhd-w11-ohs-1731393666917893319/review,boby,9 bulan lalu,bulan lalu,1,9 bulan lalu,negatif
https://www.tokopedia.com/collinsofficial/asus-vivobook-14-a1404va-i7-1355u-8-16-24-40gb-512g-1t-14-fhd-w11-ohs-1731393666917893319/review,Dedy,"Penjual tidak jujur, infonya dikolom chqt dapat konektor Lan. ternyata bgtu barang sampai tidak ada, alasanya konektor untuk varian yg lain.",penjual tidak jujur infonya dikolom chqt dapat konektor lan ternyata bgtu barang sampai tidak ada alasanya konektor untuk varian yg lain,1,Lebih dari 1 tahun lalu,negatif
https://www.tokopedia.com/collinsofficial/asus-vivobook-14-a1404va-i7-1355u-8-16-24-40gb-512g-1t-14-fhd-w11-ohs-1731393666917893319/review,Ayu,"respon admin ngga komunikatif, udh request warna dan wkt pengiriman ttp aja ga ada konfirmasi.",respon admin ngga komunikatif udh request warna dan wkt pengiriman ttp aja ga ada konfirmasi,2,10 bulan lalu,negatif
https://www.tokopedia.com/collinsofficial/asus-vivobook-14-a1404va-i7-1355u-8-16-24-40gb-512g-1t-14-fhd-w11-ohs-1731393666917893319/review,samcollection,"Ada kendala dengan laptop saya, pelayanan kurang okay. Untung saya masih bisa bawa ke Asus service center belum ada 1 minggu semenjak saya beli.",ada kendala dengan laptop saya pelayanan kurang okay untung saya masih bisa bawa ke asus service center belum ada  minggu semenjak saya beli,3,Lebih dari 1 tahun lalu,netral
https://www.tokopedia.com/trinitycomp/hanya-7-ons-fujitsu-u939-laptop-core-i7-gen-8-tertipis-di-dunia-16gb-ssd-128-08812/review,Rafif,....,,3,Lebih dari 1 tahun lalu,netral
https://www.tokopedia.com/agreshpauthorized/laptop-hp-14-ryzen-3-7320-8gb-512gb-w11-ohs-m365b-14-0fhd-ips-blit-copilot-1732589774182974626/review,Samuel,Box penyok parah,box penyok parah,3,Lebih dari 1 tahun lalu,netral
